epoch,step,test_Energy_MAE,test_Energy_RMSE,test_Force_MAE,test_Force_RMSE,test_Magmom_MAE,test_Magmom_RMSE,test_Stress_MAE,test_Stress_RMSE,test_Total_Loss,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,182,,,,,,,,,,,,,,,,,,,0.20536603033542633,0.2731318473815918,0.3115561902523041,0.5597822666168213,0.0,0.0,0.0,0.0,0.4777529537677765
0,182,,,,,,,,,,1.0886303186416626,1.1456691026687622,0.28975582122802734,0.5169887542724609,0.0,0.0,0.0,0.0,9.07270336151123,,,,,,,,,
1,365,,,,,,,,,,,,,,,,,,,0.17301806807518005,0.2472093254327774,0.30384203791618347,0.5251777172088623,0.0,0.0,0.0,0.0,0.4218430519104004
1,365,,,,,,,,,,0.17250213027000427,0.2432761937379837,0.29949262738227844,0.4993496239185333,0.0,0.0,0.0,0.0,0.33700525760650635,,,,,,,,,
2,548,,,,,,,,,,,,,,,,,,,0.13850301504135132,0.2191571146249771,0.2920069396495819,0.4651801288127899,0.0,0.0,0.0,0.0,0.2898781895637512
2,548,,,,,,,,,,0.14504052698612213,0.2172987312078476,0.29210469126701355,0.4699449837207794,0.0,0.0,0.0,0.0,0.2879718840122223,,,,,,,,,
3,731,,,,,,,,,,,,,,,,,,,0.11189296841621399,0.19654715061187744,0.2903953194618225,0.4626142084598541,0.0,0.0,0.0,0.0,0.27879762649536133
3,731,,,,,,,,,,0.12307149916887283,0.1906849443912506,0.2834152281284332,0.4405982494354248,0.0,0.0,0.0,0.0,0.2378152757883072,,,,,,,,,
4,914,,,,,,,,,,,,,,,,,,,0.08484803885221481,0.1762046366930008,0.2806200087070465,0.4334681034088135,0.0,0.0,0.0,0.0,0.22581805288791656
4,914,,,,,,,,,,0.10908374190330505,0.17265617847442627,0.2749820351600647,0.4283268451690674,0.0,0.0,0.0,0.0,0.21992404758930206,,,,,,,,,
5,1097,,,,,,,,,,,,,,,,,,,0.07725176960229874,0.15873022377490997,0.267581969499588,0.42768603563308716,0.0,0.0,0.0,0.0,0.22664493322372437
5,1097,,,,,,,,,,0.09217527508735657,0.15033310651779175,0.26464763283729553,0.4095045328140259,0.0,0.0,0.0,0.0,0.19523119926452637,,,,,,,,,
6,1280,,,,,,,,,,,,,,,,,,,0.11706728488206863,0.1423465460538864,0.2501184642314911,0.4001178741455078,0.0,0.0,0.0,0.0,0.19192811846733093
6,1280,,,,,,,,,,0.08338019996881485,0.13317565619945526,0.2484840452671051,0.39106425642967224,0.0,0.0,0.0,0.0,0.17639228701591492,,,,,,,,,
7,1463,,,,,,,,,,,,,,,,,,,0.056281108409166336,0.1022259071469307,0.23260484635829926,0.3670964539051056,0.0,0.0,0.0,0.0,0.1588444709777832
7,1463,,,,,,,,,,0.07224777340888977,0.11304789781570435,0.2342146635055542,0.36437365412712097,0.0,0.0,0.0,0.0,0.1508130580186844,,,,,,,,,
8,1646,,,,,,,,,,,,,,,,,,,0.05548292025923729,0.09115806967020035,0.21348309516906738,0.33575373888015747,0.0,0.0,0.0,0.0,0.1367322951555252
8,1646,,,,,,,,,,0.06433268636465073,0.09446237236261368,0.20798085629940033,0.31910988688468933,0.0,0.0,0.0,0.0,0.11440622806549072,,,,,,,,,
9,1829,,,,,,,,,,,,,,,,,,,0.040274813771247864,0.0723172202706337,0.18901701271533966,0.3026418685913086,0.0,0.0,0.0,0.0,0.1078791692852974
9,1829,,,,,,,,,,0.05428864806890488,0.08119048923254013,0.1919945329427719,0.29282480478286743,0.0,0.0,0.0,0.0,0.09497016668319702,,,,,,,,,
10,2012,,,,,,,,,,,,,,,,,,,0.03826721012592316,0.06152055412530899,0.17077720165252686,0.2665576636791229,0.0,0.0,0.0,0.0,0.08075776696205139
10,2012,,,,,,,,,,0.048927318304777145,0.06937297433614731,0.17484070360660553,0.26516953110694885,0.0,0.0,0.0,0.0,0.07706701010465622,,,,,,,,,
11,2195,,,,,,,,,,,,,,,,,,,0.02532249130308628,0.04715658724308014,0.16458812355995178,0.2498171329498291,0.0,0.0,0.0,0.0,0.06847580522298813
11,2195,,,,,,,,,,0.045460473746061325,0.06058434396982193,0.16402749717235565,0.2456945776939392,0.0,0.0,0.0,0.0,0.0656338781118393,,,,,,,,,
12,2378,,,,,,,,,,,,,,,,,,,0.02485859952867031,0.039002109318971634,0.14600688219070435,0.2212800532579422,0.0,0.0,0.0,0.0,0.05222461372613907
12,2378,,,,,,,,,,0.03876425325870514,0.050763778388500214,0.15108518302440643,0.2240590751171112,0.0,0.0,0.0,0.0,0.05379553884267807,,,,,,,,,
13,2561,,,,,,,,,,,,,,,,,,,0.025905676186084747,0.03828662261366844,0.14632458984851837,0.22529380023479462,0.0,0.0,0.0,0.0,0.05656557157635689
13,2561,,,,,,,,,,0.03378188982605934,0.0456424355506897,0.15338966250419617,0.2282593846321106,0.0,0.0,0.0,0.0,0.05634617432951927,,,,,,,,,
14,2744,,,,,,,,,,,,,,,,,,,0.023943167179822922,0.03564697876572609,0.14221297204494476,0.21478573977947235,0.0,0.0,0.0,0.0,0.05037698522210121
14,2744,,,,,,,,,,0.03134739026427269,0.04071508347988129,0.14000758528709412,0.20755699276924133,0.0,0.0,0.0,0.0,0.04608236253261566,,,,,,,,,
15,2927,,,,,,,,,,,,,,,,,,,0.025757238268852234,0.036213845014572144,0.13916464149951935,0.21111926436424255,0.0,0.0,0.0,0.0,0.04886111989617348
15,2927,,,,,,,,,,0.034388795495033264,0.043165192008018494,0.13590413331985474,0.20076818764209747,0.0,0.0,0.0,0.0,0.043437447398900986,,,,,,,,,
16,3110,,,,,,,,,,,,,,,,,,,0.025564629584550858,0.036452557891607285,0.13280794024467468,0.2300342470407486,0.0,0.0,0.0,0.0,0.08550579845905304
16,3110,,,,,,,,,,0.03156738728284836,0.03986998274922371,0.1331956684589386,0.19652941823005676,0.0,0.0,0.0,0.0,0.04141998663544655,,,,,,,,,
17,3293,,,,,,,,,,,,,,,,,,,0.06526032835245132,0.07360031455755234,0.13251326978206635,0.20797668397426605,0.0,0.0,0.0,0.0,0.0579415038228035
