epoch,step,test_Energy_MAE,test_Energy_RMSE,test_Force_MAE,test_Force_RMSE,test_Magmom_MAE,test_Magmom_RMSE,test_Stress_MAE,test_Stress_RMSE,test_Total_Loss,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
0,182,,,,,,,,,,,,,,,,,,,0.42243874073028564,0.473812073469162,0.26045605540275574,0.4779222011566162,0.0,0.0,0.0,0.0,0.4567922353744507
0,182,,,,,,,,,,1.5048655271530151,1.5698578357696533,0.2672922611236572,0.5100033283233643,0.0,0.0,0.0,0.0,16.869661331176758,,,,,,,,,
1,365,,,,,,,,,,,,,,,,,,,0.17882955074310303,0.2659205496311188,0.3056178689002991,0.5052231550216675,0.0,0.0,0.0,0.0,0.33228743076324463
1,365,,,,,,,,,,0.31108978390693665,0.36825206875801086,0.2860296964645386,0.5103431344032288,0.0,0.0,0.0,0.0,0.4335293471813202,,,,,,,,,
2,548,,,,,,,,,,,,,,,,,,,0.14987590909004211,0.2300933301448822,0.2772299647331238,0.4486042261123657,0.0,0.0,0.0,0.0,0.2597658932209015
2,548,,,,,,,,,,0.13518333435058594,0.2357637733221054,0.2890526056289673,0.5003051161766052,0.0,0.0,0.0,0.0,0.34236520528793335,,,,,,,,,
3,731,,,,,,,,,,,,,,,,,,,0.10864034295082092,0.20753538608551025,0.26789358258247375,0.430544912815094,0.0,0.0,0.0,0.0,0.234562948346138
3,731,,,,,,,,,,0.11676882207393646,0.2148498296737671,0.27809572219848633,0.46654465794563293,0.0,0.0,0.0,0.0,0.29799026250839233,,,,,,,,,
4,914,,,,,,,,,,,,,,,,,,,0.1535498946905136,0.21005362272262573,0.2698326110839844,0.4152911305427551,0.0,0.0,0.0,0.0,0.2202085703611374
4,914,,,,,,,,,,0.10484404116868973,0.19909128546714783,0.27217820286750793,0.4404480755329132,0.0,0.0,0.0,0.0,0.2608231008052826,,,,,,,,,
5,1097,,,,,,,,,,,,,,,,,,,0.06987810879945755,0.15311220288276672,0.24293659627437592,0.37749651074409485,0.0,0.0,0.0,0.0,0.1694183647632599
5,1097,,,,,,,,,,0.10154110193252563,0.17352741956710815,0.2577952444553375,0.40472352504730225,0.0,0.0,0.0,0.0,0.20825225114822388,,,,,,,,,
6,1280,,,,,,,,,,,,,,,,,,,0.06018165126442909,0.1296669989824295,0.2216021567583084,0.33957648277282715,0.0,0.0,0.0,0.0,0.1350678652524948
6,1280,,,,,,,,,,0.09752148389816284,0.14862453937530518,0.23415902256965637,0.358283132314682,0.0,0.0,0.0,0.0,0.1569935530424118,,,,,,,,,
7,1463,,,,,,,,,,,,,,,,,,,0.057415563613176346,0.10566019266843796,0.21197427809238434,0.3265557885169983,0.0,0.0,0.0,0.0,0.12057889997959137
7,1463,,,,,,,,,,0.08030176162719727,0.12384764850139618,0.22103621065616608,0.3362981975078583,0.0,0.0,0.0,0.0,0.13362543284893036,,,,,,,,,
8,1646,,,,,,,,,,,,,,,,,,,0.04659038037061691,0.10243289917707443,0.2056676149368286,0.3156159818172455,0.0,0.0,0.0,0.0,0.11279486864805222
8,1646,,,,,,,,,,0.07571975886821747,0.11216080188751221,0.21144433319568634,0.32078787684440613,0.0,0.0,0.0,0.0,0.11902881413698196,,,,,,,,,
9,1829,,,,,,,,,,,,,,,,,,,0.08317562937736511,0.11527393758296967,0.19895343482494354,0.30740857124328613,0.0,0.0,0.0,0.0,0.11048583686351776
9,1829,,,,,,,,,,0.07218495011329651,0.10386847704648972,0.20423778891563416,0.30951473116874695,0.0,0.0,0.0,0.0,0.10979519784450531,,,,,,,,,
10,2012,,,,,,,,,,,,,,,,,,,0.07869718968868256,0.11076171696186066,0.18665951490402222,0.2873295247554779,0.0,0.0,0.0,0.0,0.09685677289962769
10,2012,,,,,,,,,,0.06370135396718979,0.09191606193780899,0.1964786946773529,0.29561713337898254,0.0,0.0,0.0,0.0,0.09832727909088135,,,,,,,,,
11,2195,,,,,,,,,,,,,,,,,,,0.06621086597442627,0.08051257580518723,0.19572436809539795,0.2883847653865814,0.0,0.0,0.0,0.0,0.09117048233747482
11,2195,,,,,,,,,,0.05472613126039505,0.08084361255168915,0.19277916848659515,0.29237768054008484,0.0,0.0,0.0,0.0,0.09562317281961441,,,,,,,,,
